AverageTemperature,AverageTemperatureUncertainty,City,Year,Month
25.94,1.072,1,1875,9
26.221,1.145,1,1875,10
26.493,1.414,1,1875,11
25.938,1.383,1,1875,12
25.711,1.377,1,1876,1
24.416,1.587,1,1876,2
24.23,1.803,1,1876,3
24.433,1.434,1,1876,4
25.654,1.358,1,1876,5
27.148,1.213,1,1876,6
27.266,1.136,1,1876,7
27.266,1.105,1,1876,8
26.688,1.262,1,1876,9
26.551,1.248,1,1876,10
25.492,1.312,1,1876,11
23.604,1.342,1,1876,12
24.188,1.591,1,1877,1
23.712,1.69,1,1877,2
23.63,1.751,1,1877,3
24.256,1.514,1,1877,4
26.094,1.34,1,1877,5
27.1,1.796,1,1877,6
27.752,1.23,1,1877,7
28.145,1.35,1,1877,8
27.465,1.151,1,1877,9
27.916,1.661,1,1877,10
26.389,1.445,1,1877,11
25.598,1.949,1,1877,12
25.023,1.172,1,1878,1
24.587,1.191,1,1878,2
24.658,1.031,1,1878,3
25.878,1.23,1,1878,4
27.238,0.961,1,1878,5
28.515,1.295,1,1878,6
27.997,0.991,1,1878,7
27.255,0.82,1,1878,8
26.984,1.002,1,1878,9
27.031,0.704,1,1878,10
26.864,1.009,1,1878,11
25.395,1.079,1,1878,12
25.23,0.971,1,1879,1
23.667,0.943,1,1879,2
23.518,0.989,1,1879,3
24.489,0.99,1,1879,4
26.121,1.484,1,1879,5
26.658,1.4,1,1879,6
27.48,1.193,1,1879,7
26.999,1.068,1,1879,8
26.261,0.793,1,1879,9
26.13,0.979,1,1879,10
25.982,0.832,1,1879,11
25.846,1.192,1,1879,12
24.405,1.475,1,1880,1
24.106,1.151,1,1880,2
24.542,1.257,1,1880,3
24.302,0.924,1,1880,4
26.585,1.116,1,1880,5
27.021,0.857,1,1880,6
27.314,0.761,1,1880,7
27.038,0.97,1,1880,8
26.512,0.866,1,1880,9
26.259,0.847,1,1880,10
27.029,1.805,1,1880,11
25.416,0.862,1,1880,12
23.963,0.985,1,1881,1
23.75,1.057,1,1881,2
24.281,1.168,1,1881,3
24.798,0.964,1,1881,4
26.257,1.058,1,1881,5
27.09,1.289,1,1881,6
27.613,0.727,1,1881,7
27.176,0.914,1,1881,8
26.731,0.93,1,1881,9
26.876,0.672,1,1881,10
26.936,1.263,1,1881,11
25.595,1.483,1,1881,12
25.075,1.107,1,1882,1
24.722,1.319,1,1882,2
24.679,0.842,1,1882,3
24.902,0.743,1,1882,4
25.431,0.873,1,1882,5
26.862,0.998,1,1882,6
27.226,0.712,1,1882,7
26.557,0.914,1,1882,8
26.607,0.812,1,1882,9
26.721,0.642,1,1882,10
25.527,1.102,1,1882,11
24.461,0.921,1,1882,12
23.9,0.799,1,1883,1
23.475,1.175,1,1883,2
23.118,1.02,1,1883,3
24.388,0.79,1,1883,4
25.202,0.831,1,1883,5
26.69,0.8,1,1883,6
26.8,0.882,1,1883,7
26.617,0.868,1,1883,8
26.331,0.706,1,1883,9
26.6,0.906,1,1883,10
26.118,0.823,1,1883,11
25.027,1.152,1,1883,12
23.614,1.101,1,1884,1
23.356,1.263,1,1884,2
23.919,1.059,1,1884,3
24.378,0.984,1,1884,4
24.397,2.37,1,1884,5
27.363,0.888,1,1884,6
27.004,0.658,1,1884,7
26.539,0.798,1,1884,8
26.664,0.957,1,1884,9
26.164,0.874,1,1884,10
25.838,0.864,1,1884,11
25.245,1.124,1,1884,12
